TemplateType=ConsumerElectronics	Version=2012.0401		この行はAmazonが使用しますので変更や削除しないでください。												
商品管理番号	商品の販売価格	ポイント	通貨コード	在庫数	リードタイム(出荷までにかかる作業日数)	アップデート・削除	セール価格	セール時ポイント	セール開始日	セール終了日	商品の入荷予定日	フルフィルメントセンターID	販売価格の下限設定	販売価格の上限設定	
sku	item-price	standard-price-points	currency	quantity	leadtime-to-ship	update-delete	sale-price	sale-price-points	sale-from-date	sale-through-date	restock-date	fulfillment-center-id	minimum-seller-allowed-price	maximum-seller-allowed-price	
